ORDER_HEAD_LINE_NO,MTL_NO,CREATED_OBJECT_TYPE,CREATED_OBJECT_ID,CREATED_PROGRAM_ID,CREATION_TIMESTAMP,LAST_UPDATED_OBJECT_TYPE,LAST_UPDATED_OBJECT_ID,LAST_UPDATE_PROGRAM_ID,LAST_UPDATE_TIMESTAMP,DATA_END_STATUS,DATA_END_OBJECT_TYPE,DATA_END_OBJECT_ID,DATA_END_PROGRAM_ID,DATA_END_TIMESTAMP,ARCHIVE_COMPLETED_FLAG,ARCHIVED_EMPLOYEE_NUM,ARCHIVED_TIMESTAMP,ARCHIVE_PROGRAM_ID,OS_STATUS_CD,MTL_SECTION_CD,MTL_STATUS_CD,OPER_FLAG,FAC_OP_CD_N,MAT_PRG_TP,PRD_PRG_TP,ORDER_PRG_TP_CD,BEF_OS_STATUS_CD,MTL_BEF_PROCESS_CD_N,PLATE_EA,MTL_REAL_WEIGHT,MTL_BASE_WEIGHT,MTL_COMPLETE_FLAG,GCS_COMP_CODE,WORKS_CODE,MAT_SHP_TP,RSV_METHOD_TP,RSV_DT,ASSEMBLY,SZ_DIR_FLAG,SZ_PARENT_SLAB_FLAG,PL_PRD_MASTER_CLS,DEPT_LOC_SITE_CD,DEST_SITE_CD,PLT_TE_PIC_QT_REVISE_TP,OVERROLL_CHECK_DATE,OVERROLL_RELEASE_DATE,OVROLL_PASS_YN_FLAG,OP_INDI_ERR_CAU_CD,OVEROLL_CD,MTL_PREVIOUS_NO_SECTION1,MTL_PREVIOUS_NO11,MTL_PREVIOUS_NO12,MTL_PREVIOUS_NO13,MTL_PREVIOUS_NO14,MTL_PREVIOUS_NO15,MTL_PREVIOUS_NO_SECTION2,MTL_PREVIOUS_NO21,MTL_PREVIOUS_NO22,MTL_PREVIOUS_NO23,MTL_PREVIOUS_NO24,MTL_PREVIOUS_NO25,MTL_PREVIOUS_NO26,MTL_PREVIOUS_NO27,MTL_PREVIOUS_NO28,MTL_PREVIOUS_NO29,MTL_PREVIOUS_NO30,PARTITION_KEY,CUST_DELIV_DT,PLT_PDT_ONL_ISP_RSH_IND_TP
01S5472685010,HBC079720,B,PHZFCM25,C400620522,2022/03/14 14:36:28.000000,B,PHZAYM11,CallHotCoilOSProgram,2022/03/14 14:53:17.500000,,,,,,,,,,HCH,H,2,H,6F2,H,,Q,HCH,,,20670,20515,,01,P,H,,,EQAA00000000QXQ,,,,,,,,,,,,D,SG68321 011,,,,,H,HBC079720,,,,,,,,,,S,,
01S5466935020,HBC079880,B,PH2APM14,C400620522,2022/03/14 14:56:09.000000,B,PH2APM19,CallHotCoilOSProgram,2022/03/14 15:06:46.340000,,,,,,,,,,HCH,H,2,H,6F2,H,,Q,HCH,,,18830,18689,,01,P,H,,,EQAA00000000QXP,,,,,,,,,,,,D,SG68326 041,,,,,H,HBC079880,,,,,,,,,,S,,
01S5466935010,HBC079860,B,PHZFCM25,C400620522,2022/03/14 14:52:38.000000,B,PHZZYM12,CallHotCoilOSProgram,2022/03/14 15:13:13.041000,,,,,,,,,,HCH,H,2,H,6F2,H,,Q,HCH,,,18890,18749,,01,P,H,,,EQAA00000000QXP,,,,,,,,,,,,D,SG68326 031,,,,,H,HBC079860,,,,,,,,,,S,,
01S5454528010,HBC079830,B,PHZFCM25,C400620522,2022/03/14 14:48:52.000000,B,PHZAYM11,CallHotCoilOSProgram,2022/03/14 15:07:29.923000,,,,,,,,,,HCH,H,2,H,6F2,H,,Q,HCH,,,15030,14050,,01,P,H,,,EQAA00000000TTF,,,,,,,,,,,,D,SG68325 051,,,,,H,HBC079830,,,,,,,,,,S,,
01S5371635020,HBC079660,B,PHZFCM25,C400620522,2022/03/14 14:19:53.000000,B,PHZAYM11,CallHotCoilOSProgram,2022/03/14 14:35:57.589000,,,,,,,,,,HCH,H,2,H,6F2,H,,Q,HCH,,,20960,20348,,01,P,H,,,EQAA00000000TGX,,,,,,,,,,,,D,SG68320 021,,,,,H,HBC079660,,,,,,,,,,S,,
01S5371635020,HBC079680,B,PHZFCM25,C400620522,2022/03/14 14:23:10.000000,B,PHZAYM11,CallHotCoilOSProgram,2022/03/14 14:40:26.373000,,,,,,,,,,HCH,H,2,H,6F2,H,,Q,HCH,,,20960,20348,,01,P,H,,,EQAA00000000TGX,,,,,,,,,,,,D,SG68320 031,,,,,H,HBC079680,,,,,,,,,,S,,
01S5472685010,HBC079710,B,PHZFCM25,C400620522,2022/03/14 14:29:30.000000,B,PHZAYM11,CallHotCoilOSProgram,2022/03/14 14:47:57.705000,,,,,,,,,,HCH,H,2,H,6F2,H,,Q,HCH,,,20640,20485,,01,P,H,,,EQAA00000000QXQ,,,,,,,,,,,,D,SG68321 031,,,,,H,HBC079710,,,,,,,,,,S,,
01S5441192010,HBC079810,B,PHZFCM25,C400620522,2022/03/14 14:50:47.000000,B,PHZAYM11,CallHotCoilOSProgram,2022/03/14 15:10:37.729000,,,,,,,,,,HCH,H,2,H,6F2,H,,Q,HCH,,,19410,18817,,01,P,H,,,EQAA00000000UP6,,,,,,,,,,,,D,SG68324 021,,,,,H,HBC079810,,,,,,,,,,S,,
01S5434717030,HBC079730,B,PHZFCM25,C400620522,2022/03/14 14:32:03.000000,B,PHZZYM14,CallHotCoilOSProgram,2022/03/14 14:58:17.186000,,,,,,,,,,HJD,H,2,Q,6F3,D,,,HCH,H6F3 ,,20260,19627,,01,P,H,,,EQAA00000000QW3,,,,,,,,,,,,D,SG68321 051,,,,,H,HBC079730,,,,,,,,,,S,,
01S5441192010,HBC079780,B,PHZFCM25,C400620522,2022/03/14 14:40:35.000000,B,PHZAYM11,CallHotCoilOSProgram,2022/03/14 14:59:45.273000,,,,,,,,,,HCH,H,2,H,6F2,H,,Q,HCH,,,19420,18827,,01,P,H,,,EQAA00000000UP6,,,,,,,,,,,,D,SG68324 031,,,,,H,HBC079780,,,,,,,,,,S,,
