ORDER_HEAD_LINE_NO,OS_STATUS_CD,CREATED_OBJECT_TYPE,CREATED_OBJECT_ID,CREATED_PROGRAM_ID,CREATION_TIMESTAMP,LAST_UPDATED_OBJECT_TYPE,LAST_UPDATED_OBJECT_ID,LAST_UPDATE_PROGRAM_ID,LAST_UPDATE_TIMESTAMP,DATA_END_STATUS,DATA_END_OBJECT_TYPE,DATA_END_OBJECT_ID,DATA_END_PROGRAM_ID,DATA_END_TIMESTAMP,ARCHIVE_COMPLETED_FLAG,ARCHIVED_EMPLOYEE_NUM,ARCHIVED_TIMESTAMP,ARCHIVE_PROGRAM_ID,OS_PROCESS_STATUS,OS_PROCESS_WGT,GCS_COMP_CODE,PARTITION_KEY
01S5502098010,WBE,B,PGZ31007,C400620527,2022/03/14 15:05:34.000000,B,PGZ31007,C400628508,2022/03/14 15:10:50.543000,,,,,,,,,,2,10055,01,W
01S5497997010,VCD,B,M2604P43,C400620527,2022/03/14 14:23:48.000000,B,M2604P43,CallBilletOSProgram,2022/03/14 14:23:53.954000,,,,,,,,,,2,24129,01,W
01S5499284010,VCD,B,M2604P43,C400620527,2022/03/14 14:23:49.000000,B,M2604P43,CallBilletOSProgram,2022/03/14 14:24:54.057000,,,,,,,,,,2,10073,01,W
01S5489427010,WBE,B,PGZ31007,C400620527,2022/03/14 14:30:51.000000,B,PGZ31007,C400628508,2022/03/14 15:22:21.555000,,,,,,,,,,2,94517,01,W
01S5502904010,VCD,B,HNMDD042,C400620527,2022/03/14 14:37:11.000000,B,PGZ71004,CallBilletOSProgram,2022/03/14 14:37:41.347000,,,,,,,,,,2,4050,01,W
01S5458789070,VCE,B,PGE71001,C400620527,2022/03/14 14:34:14.000000,B,PGE71001,CallBilletOSProgram,2022/03/14 14:34:25.698000,,,,,,,,,,2,91291,01,W
01S5479690010,FBM,B,PP101002,C400620527,2022/03/14 14:35:01.000000,B,PP101002,CallProductOSProgram,2022/03/14 14:35:02.251000,,,,,,,,,,2,3927,01,W
01S5481227010,FBJ,B,PP152101,C400620527,2022/03/14 14:41:11.000000,B,PP152101,CallProductOSProgram,2022/03/14 14:45:57.282000,,,,,,,,,,2,823190,01,W
01S5480014010,FBM,B,PP101002,C400620527,2022/03/14 14:42:15.000000,B,PP101002,CallProductOSProgram,2022/03/14 15:22:13.758000,,,,,,,,,,2,13879,01,W
01S5480088010,FCY,B,H6C40104,C400620527,2022/03/14 15:07:33.000000,B,H6C40126_01,CallProductOSProgram,2022/03/14 15:08:14.157000,,,,,,,,,,2,27895,01,W
01S5484825010,FCY,B,H6C40104,C400620527,2022/03/14 15:15:44.000000,B,H6C40126_01,CallProductOSProgram,2022/03/14 15:17:11.002000,,,,,,,,,,2,2001,01,W
01S5492473010,FBJ,B,PP152101,C400620527,2022/03/14 14:47:12.000000,B,PP152101,CallProductOSProgram,2022/03/14 14:48:07.433000,,,,,,,,,,2,151191,01,W
01S5484599020,VCE,B,PGE71001,C400620527,2022/03/14 14:42:00.000000,B,PGE71001,CallBilletOSProgram,2022/03/14 14:42:12.095000,,,,,,,,,,2,99924,01,W
01S5481218010,FBJ,B,PP152101,C400620527,2022/03/14 14:44:52.000000,B,PP152101,CallProductOSProgram,2022/03/14 14:45:53.294000,,,,,,,,,,2,243767,01,W
01S5497993010,VCD,B,M2604P43,C400620527,2022/03/14 14:24:34.000000,B,M2604P43,CallBilletOSProgram,2022/03/14 14:24:56.892000,,,,,,,,,,2,20079,01,W
01S5502051010,FBM,B,PP101002,C400620527,2022/03/14 14:38:18.000000,B,PP101002,CallProductOSProgram,2022/03/14 14:38:21.389000,,,,,,,,,,2,11866,01,W
01S5488164010,WYY,B,PGD31005,C400620527,2022/03/14 14:38:26.000000,B,PP104001,CallProductOSProgram,2022/03/14 14:38:28.972000,,,,,,,,,,2,0,01,W
01S5481263010,FBJ,B,PP152101,C400620527,2022/03/14 14:40:59.000000,B,PP152101,CallProductOSProgram,2022/03/14 14:44:19.997000,,,,,,,,,,2,93295,01,W
01S5480038010,FBM,B,PP101002,C400620527,2022/03/14 14:42:17.000000,B,PP101002,CallProductOSProgram,2022/03/14 14:42:17.872000,,,,,,,,,,2,3874,01,W
01S5482061010,FBM,B,PP101002,C400620527,2022/03/14 15:01:37.000000,B,PP101002,CallProductOSProgram,2022/03/14 15:22:13.579000,,,,,,,,,,2,9846,01,W
01S5487000010,FA1,B,PP104001,C400620527,2022/03/14 15:05:53.000000,B,PP145102,CallProductOSProgram,2022/03/14 15:13:25.454000,,,,,,,,,,2,0,01,W
01S5480025010,FBM,B,PP101002,C400620527,2022/03/14 14:42:16.000000,B,PP101002,CallProductOSProgram,2022/03/14 15:01:41.917000,,,,,,,,,,2,9842,01,W
01S5458868040,FCY,B,HNMDP005,C400620527,2022/03/14 14:32:19.000000,B,HNMDP005_01,C400628522,2022/03/14 14:32:31.331000,,,,,,,,,,2,52878,01,W
01S5514503010,FAB,B,HNMDP005,C400620527,2022/03/14 14:32:19.000000,B,PP142102,CallProductOSProgram,2022/03/14 14:34:43.030000,,,,,,,,,,2,0,01,W
01S5514500010,FAB,B,HNMDP005,C400620527,2022/03/14 14:32:19.000000,B,PP142102,CallProductOSProgram,2022/03/14 14:34:43.770000,,,,,,,,,,2,0,01,W
01S5514503010,FBE,B,PP142102,C400620527,2022/03/14 14:33:36.000000,B,PP142102,CallProductOSProgram,2022/03/14 14:34:43.036000,,,,,,,,,,2,52878,01,W
01S5499234010,VCD,B,M2604P43,C400620527,2022/03/14 14:23:24.000000,B,M2604P43,CallBilletOSProgram,2022/03/14 14:24:56.174000,,,,,,,,,,2,20058,01,W
01S5479987010,FBM,B,PP101002,C400620527,2022/03/14 15:01:38.000000,B,PP101002,CallProductOSProgram,2022/03/14 15:22:16.221000,,,,,,,,,,2,5902,01,W
01S5479989010,FBM,B,PP101002,C400620527,2022/03/14 15:01:39.000000,B,PP101002,C400620527,2022/03/14 15:01:39.000000,,,,,,,,,,2,1994,01,W
01S5479503010,FA1,B,PP104001,C400620527,2022/03/14 14:32:50.000000,B,PP104001,CallProductOSProgram,2022/03/14 15:22:25.521000,,,,,,,,,,2,31600,01,W
01S5479938010,FBM,B,PP101002,C400620527,2022/03/14 14:42:14.000000,B,PP101002,CallProductOSProgram,2022/03/14 15:22:14.897000,,,,,,,,,,2,17826,01,W
01S5479937010,FBM,B,PP101002,C400620527,2022/03/14 14:42:15.000000,B,PP101002,C400620527,2022/03/14 14:42:15.000000,,,,,,,,,,2,1978,01,W
01S5479955010,FBM,B,PP101002,C400620527,2022/03/14 14:42:16.000000,B,PP101002,CallProductOSProgram,2022/03/14 15:01:38.016000,,,,,,,,,,2,3913,01,W
01S5487000010,WYY,B,PGD31005,C400620527,2022/03/14 14:51:58.000000,B,PGD31005,C400628508,2022/03/14 15:22:37.620000,,,,,,,,,,2,41697,01,W
01S5496200010,FBM,B,PP101002,C400620527,2022/03/14 14:59:54.000000,B,PP140500,CallProductOSProgram,2022/03/14 15:21:03.907000,,,,,,,,,,2,26659,01,W
01S5481742010,WYY,B,PGC31005,C400620527,2022/03/14 15:03:08.000000,B,PGC31005,C400628508,2022/03/14 15:05:28.377000,,,,,,,,,,2,7744,01,W
01S5478499010,FBM,B,PP101002,C400620527,2022/03/14 15:04:27.000000,B,PP101002,CallProductOSProgram,2022/03/14 15:04:31.193000,,,,,,,,,,2,9819,01,W
01S5502023010,FBM,B,PP101002,C400620527,2022/03/14 15:04:29.000000,B,PP101002,CallProductOSProgram,2022/03/14 15:04:30.524000,,,,,,,,,,2,9658,01,W
01S5487000010,FBE,B,PP145102,C400620527,2022/03/14 15:05:55.000000,B,PP106002,CallProductOSProgram,2022/03/14 15:14:48.627000,,,,,,,,,,2,23777,01,W
01S5498811010,WBE,B,PGZ31007,C400620527,2022/03/14 15:10:54.000000,B,PGZ31007,C400628508,2022/03/14 15:12:31.568000,,,,,,,,,,2,4070,01,W
01S5456296010,FCY,B,H6C40104,C400620527,2022/03/14 15:12:26.000000,B,H6C40126_01,CallProductOSProgram,2022/03/14 15:14:24.587000,,,,,,,,,,2,19182,01,W
01S5480126010,FCY,B,H6C40104,C400620527,2022/03/14 15:12:26.000000,B,H6C40126_01,CallProductOSProgram,2022/03/14 15:14:23.710000,,,,,,,,,,2,1967,01,W
01S5455689010,FCY,B,H6C40104,C400620527,2022/03/14 15:12:32.000000,B,H6C40126_01,CallProductOSProgram,2022/03/14 15:14:25.491000,,,,,,,,,,2,15881,01,W
01S5514500010,FBE,B,PP142102,C400620527,2022/03/14 14:33:38.000000,B,PP142102,CallProductOSProgram,2022/03/14 14:34:43.775000,,,,,,,,,,2,113675,01,W
01S5488164010,FA1,B,PP104001,C400620527,2022/03/14 14:38:28.000000,B,PP104001,CallProductOSProgram,2022/03/14 14:38:28.976000,,,,,,,,,,2,3313,01,W
01S5479179010,FBM,B,PP101002,C400620527,2022/03/14 14:48:50.000000,B,PP140500,CallProductOSProgram,2022/03/14 14:57:08.372000,,,,,,,,,,2,27752,01,W
01S5502834010,FBF,B,H6C40101,C400620527,2022/03/14 14:41:06.000000,B,PP152101,CallProductOSProgram,2022/03/14 14:51:21.312000,,,,,,,,,,2,0,01,W
01S5488630010,FBM,B,PP101002,C400620527,2022/03/14 14:41:08.000000,B,PP101002,CallProductOSProgram,2022/03/14 14:41:13.745000,,,,,,,,,,2,26594,01,W
01S5501954010,FBM,B,PP101002,C400620527,2022/03/14 14:41:19.000000,B,PP140500,CallProductOSProgram,2022/03/14 14:58:53.244000,,,,,,,,,,2,27952,01,W
01S5469113010,WBE,B,PGZ31007,C400620527,2022/03/14 15:16:48.000000,B,PGZ31007,C400628508,2022/03/14 15:22:15.830000,,,,,,,,,,2,8044,01,W
01S5489427010,WYY,B,PGF31005,C400620527,2022/03/14 15:17:32.000000,B,PGF31005,C400628508,2022/03/14 15:21:54.525000,,,,,,,,,,2,10007,01,W
01S5488204010,WYY,B,PGC31005,C400620527,2022/03/14 14:23:55.000000,B,PGC31005,C400628508,2022/03/14 14:26:32.299000,,,,,,,,,,2,9796,01,W
01S5487260010,WYY,B,PGC31005,C400620527,2022/03/14 14:34:39.000000,B,PGC31005,C400628508,2022/03/14 14:40:32.670000,,,,,,,,,,2,9745,01,W
01S5481741010,WYY,B,PGC31005,C400620527,2022/03/14 14:46:54.000000,B,PGC31005,C400628508,2022/03/14 15:02:29.946000,,,,,,,,,,2,19172,01,W
01S5487248010,WBE,B,PGZ31007,C400620527,2022/03/14 15:12:35.000000,B,PGZ31007,C400628508,2022/03/14 15:22:35.185000,,,,,,,,,,2,25952,01,W
01S5502834010,FBJ,B,PP152101,C400620527,2022/03/14 14:51:19.000000,B,PP152101,CallProductOSProgram,2022/03/14 14:51:21.317000,,,,,,,,,,2,7927,01,W
01S5480042010,FBM,B,PP101002,C400620527,2022/03/14 15:01:40.000000,B,PP101002,C400620527,2022/03/14 15:01:40.000000,,,,,,,,,,2,1939,01,W
